time,seconds_elapsed,z,y,x,a_mag,t_front_video,t_side_video,front_frame,side_frame
1764942743003144700,1.993144775390625,3.5878806990921497,-7.717247279220819,0.2555802965693176,8.51434758320058,0.939,1.0175,28,31
1764942743013075700,2.00307568359375,6.905685397142172,-3.2996254827588793,1.4012963918469843,7.780723019654265,0.9485120691408834,1.0274310503721074,28,31
1764942743023007700,2.0130078125,5.755485434448719,0.3346773602902889,1.646267762248963,5.995650012022254,0.9580253075013679,1.0373633214648152,29,31
1764942743032938800,2.022938720703125,3.6547909198045727,0.6297907719552517,1.4180729007333517,3.970524377927964,0.9675373766422514,1.0472943718369225,29,31
1764942743042869800,2.032869873046875,1.3823333327017724,0.4303723614603281,1.0268513770528138,1.7749618482555023,0.977049679627055,1.0572256663531499,29,32
1764942743052800800,2.04280078125,-0.6964113620713352,1.0091390486210583,0.4886563177226111,1.3198997694992178,0.9865617487679385,1.0671567167252574,30,32
1764942743062731800,2.052731689453125,-2.174081384024769,1.8793407511949536,-0.0855333621124736,2.875042170038438,0.9960738179088219,1.0770877670973646,30,32
1764942743072662800,2.062662841796875,-2.997258738964796,2.5905256117671724,-0.3978211411412805,3.981537963383179,1.0055861208936254,1.087019061613592,30,33
1764942743082593800,2.07259375,-3.0720518218815327,3.036026568776369,-0.3164837511476129,4.330718380059147,1.0150981900345089,1.0969501119856992,30,33
1764942743092525800,2.08252587890625,-2.365701395728439,3.307500746178627,-0.3177190650962292,4.078853966992356,1.0246114283949934,1.1068823830784071,31,33
1764942743102456800,2.092456787109375,-1.4436509941041469,3.467286818987131,-0.3520626852573826,3.772287662977259,1.0341234975358768,1.1168134334505144,31,34
1764942743112387600,2.1023876953125,-0.9774806124232708,3.3469945521771907,-0.3115676297944039,3.5007021107062033,1.0436355666767603,1.1267444838226217,31,34
1764942743122318800,2.11231884765625,-1.2357822967804968,2.759344885858894,-0.4868750237964093,3.0623829566121326,1.0531478696615644,1.1366757783388497,32,34
1764942743132249900,2.122249755859375,-1.7937186696194112,1.894068364727497,-0.716701651232317,2.705287950086248,1.0626599388024478,1.146606828710957,32,34
1764942743142180600,2.1321806640625,-1.960160108663887,0.8374076864749193,-0.7601224214162677,2.263021294752709,1.0721720079433312,1.1565378790830643,32,35
1764942743152112600,2.142112548828125,-1.4600971019923683,-0.3614168986558914,-0.823710731164366,1.714935885249326,1.0816850124598956,1.166469906031652,32,35
