time,seconds_elapsed,z,y,x,a_mag,t_front_video,t_side_video,front_frame,side_frame
1764957947550060800,1.087060791015625,-1.2277134104847909,-10.33401617026925,1.4324386952161787,10.504810852234472,1.0725,1.198,32,36
1764957947559991600,1.096991455078125,-0.1858557490885257,-6.54018444404304,1.8768449888564644,6.806695382765961,1.0824771175939523,1.2079550400151566,32,36
1764957947569922600,1.106922607421875,1.6733388706564902,-1.2549281651467084,0.6085329894689843,2.1783526057552027,1.0924547257532302,1.2179105695101056,33,37
1764957947579853800,1.116853759765625,2.0117840590476987,1.8785802882164715,0.0102512170371599,2.752534120944672,1.102432333912508,1.2278660990050543,33,37
1764957947589784600,1.12678466796875,1.7957120353937148,3.472819903194904,-0.1259698923212476,3.9116400918100744,1.1124096967891233,1.2378213837601073,33,37
1764957947599714800,1.13671484375,1.7848212235450744,4.1847371696949,-0.1916146414088085,4.553496255652929,1.1223863238177498,1.2477759342954715,34,37
1764957947609645600,1.1466455078125,1.7126058821618555,4.495929609501362,-0.3427535896422341,4.823264660416126,1.1323634414117019,1.257730974310628,34,38
1764957947619576600,1.15657666015625,1.3866215314149857,4.693485733255744,-0.8152629285536706,4.961469665566117,1.1423410495709796,1.267686503805577,34,38
1764957947629507800,1.1665078125,0.832995057664439,4.9115731883853675,-1.668817447709292,5.253797067335047,1.1523186577302575,1.2776420333005256,35,38
1764957947639438600,1.1764384765625,0.3516471997916698,4.660899806949496,-2.6584210441246627,5.377252570912774,1.1622957753242098,1.2875970733156823,35,39
1764957947649369600,1.18636962890625,-2.1923113065898416,2.765502823966741,-3.0348224536836144,4.65450126863791,1.1722733834834878,1.2975526028106312,35,39
1764957947659299600,1.196299560546875,-5.448710811084508,1.103869588673115,-1.0138607433807103,5.651096458086257,1.1822497652294512,1.3075069086060993,35,39
1764957947669230000,1.20622998046875,-4.386558549678325,0.3424462407261133,1.0945504100553691,4.534005507020899,1.1922266375407407,1.3174617038813599,36,40
1764957947679160800,1.216160888671875,-1.0319289725780487,-0.715347240948677,0.8115992184143513,1.4950894190347472,1.202204000417356,1.3274169886364127,36,40
1764957947689091800,1.226091796875,1.8098142105042936,-1.7078934666872023,0.3272748289488256,2.5098678020484653,1.2121813632939709,1.3373722733914655,36,40
1764957947699023000,1.236023193359375,3.188770321857929,-2.62072493519783,0.4744120672602206,4.154698805099078,1.2221592167359117,1.3473280476263105,37,40
1764957947708952800,1.245952880859375,3.2642402811229227,-3.012891192382574,0.9030134004600344,4.533013473557336,1.2321353531992123,1.3572821086818825,37,41
1764957947718884000,1.255884033203125,2.4384604885995387,-2.793823494043946,1.3290883569873868,3.9392911965241226,1.2421129613584903,1.3672376381768312,37,41
1764957947728814800,1.26581494140625,1.2595464725971222,-2.329215685504675,0.9942607015062124,2.8284726211848845,1.2520903242351054,1.3771929229318842,38,41
1764957947738745900,1.275745849609375,0.3646785308003425,-1.565590443599224,0.1178220590378157,1.611814476145385,1.2620676871117205,1.3871482076869368,38,42
1764957947748677000,1.285677001953125,0.0487023273160681,-0.8764888200193643,-0.3574615486262366,0.9478308536079665,1.2720452952709982,1.3971037371818855,38,42
1764957947758606800,1.29560693359375,0.1393429311733692,-0.2097182707130908,-0.3080911127902567,0.3978923715267914,1.282021677016962,1.4070580429773538,38,42
1764957947768538000,1.3055380859375,0.1525356632888317,0.3939332668572664,-0.2746774852219037,0.5038831890424915,1.2919992851762399,1.4170135724723028,39,43
1764957947778468900,1.31546875,-0.0135292705934494,0.9629232408910988,-0.4758247836023568,1.074157080552578,1.301976402770192,1.4269686124874592,39,43
1764957947788399900,1.32539990234375,-0.1476069747149944,1.28821551772058,-0.8170765538468956,1.5326125191733668,1.3119540109294698,1.4369241419824081,39,43
1764957947798331100,1.3353310546875,-1.0336076463799924,1.300295247092843,-0.9952072616413236,1.936375477507151,1.3219316190887478,1.4468796714773569,40,43
1764957947808260900,1.3452607421875,-1.5970271998703478,1.3825918375074862,-1.1580410315826537,2.408965565776536,1.3319077555520487,1.456833732532929,40,44
1764957947818192100,1.355192138671875,-0.9559119008243084,1.2546265518516302,-1.2727516988679766,2.0267590467837993,1.3418856089939895,1.466789506767774,40,44
1764957947828123000,1.365122802734375,-0.0451975705981254,0.846371329653263,-1.2082897480905057,1.4759239016248848,1.3518627265879415,1.4767445467829305,41,44
1764957947838054000,1.375053955078125,0.5278793439557775,0.4431675456255674,-0.984817969574034,1.2020484634435062,1.3618403347472194,1.4867000762778795,41,45
1764957947847985200,1.384985107421875,0.7809469635844231,0.1075198789983987,-0.6625248745605349,1.0297465191604258,1.3718179429064974,1.4966556057728284,41,45
1764957947857916000,1.394916015625,0.7421019768834114,-0.2146469592869281,-0.4072784861207008,0.8733066050833242,1.3817953057831125,1.5066108905278812,41,45
1764957947867846000,1.404845947265625,0.5866237573366612,-0.5099608619600534,-0.2089966967065818,0.8049019397647675,1.391771687529076,1.5165651963233493,42,45
1764957947877777000,1.41477685546875,0.4239350218892097,-0.7022855148017406,-0.0114165070900227,0.8204000144555624,1.4017490504056913,1.526520481078402,42,46
