time,seconds_elapsed,z,y,x,a_mag,t_front_video,t_side_video,front_frame,side_frame
1764957767600189200,2.536189208984375,1.5934622008651491,-5.697038506177067,0.4548984615601599,5.93315279904201,0.8785,1.0205,26,31
1764957767610120000,2.546119873046875,0.955494552195072,-5.347448238915205,1.3758185439802706,5.603663906152097,0.8884060476140826,1.0304164840209167,27,31
1764957767620051200,2.55605126953125,-0.0919090528905391,-5.071654444748163,1.857127019690722,5.401763309161406,0.8983128258344895,1.04033369941788,27,31
1764957767629981000,2.56598095703125,-0.1559048474609851,-2.7504917173177,2.099516995297372,3.463738243868553,0.9082178993068069,1.050249208270735,27,32
1764957767639912200,2.575912109375,0.8043149796903133,0.0832902776271104,1.3225462418675422,1.550157546438229,0.9181244339917723,1.0601661798756827,28,32
1764957767649843200,2.58584326171875,1.298874274379015,1.2984563412278889,0.5308295355308801,1.9117644327977383,0.9280309686767378,1.0700831514806306,28,32
1764957767659773200,2.595773193359375,1.51544781781435,1.7569675864577292,0.1757026586635969,2.3268838846497752,0.9379362856844965,1.0799989041255011,28,32
1764957767669704200,2.6057041015625,1.5842822845876217,2.223542311155796,-0.0031699170066975,2.730219920653291,0.9478425768340206,1.0899156319384335,28,33
1764957767679635000,2.615635009765625,1.3237678926169871,2.888056605967879,0.0667442621615249,3.177685822942509,0.9577488679835446,1.0998323597513657,29,33
1764957767689565200,2.625565185546875,0.7514707667965441,3.4428052886813876,-0.1941458038542419,3.529208007793892,0.9676544285267449,1.1097483561882517,29,33
1764957767699496000,2.635495849609375,-0.2091688932020217,3.662998191657662,-1.1541136290058494,3.846204056810781,0.9775604761408274,1.1196648402091685,29,34
1764957767709427200,2.64542724609375,-1.4881857168793675,3.1923546100854874,-2.055208920884877,4.077953946888391,0.9874672543612344,1.1295820556061318,30,34
1764957767719357000,2.65535693359375,-2.331775891381502,2.2642221120685337,-1.9874303929053243,3.8096929203089194,0.9973723278335517,1.1394975644589869,30,34
1764957767729288200,2.6652880859375,-1.8607471098840236,1.3363193311542272,-1.2610241439342498,2.615016453742373,1.0072788625185172,1.1494145360639347,30,34
1764957767739219200,2.67521923828125,-0.5107108035445213,0.4468044408231973,-0.7458705356366931,1.0083563800201734,1.0171853972034828,1.1593315076688824,31,35
1764957767749149200,2.685149169921875,0.5417383579602465,-0.6472516098439693,-0.5235929353408515,0.9932596120199004,1.027090714211241,1.1692472603137527,31,35
1764957767759080200,2.695080078125,0.7813175504624843,-1.8214292449742555,-0.2978669116241857,2.0041921829377323,1.0369970053607656,1.1791639881266853,31,35
1764957767769011000,2.705010986328125,0.6005471418142319,-2.6092554466783997,0.005411983145331,2.6774801857574415,1.0469032965102896,1.1890807159396175,31,36
1764957767778941200,2.714941162109375,0.59012511652112,-2.880939467439055,0.0779498025151435,2.9417912978165606,1.0568088570534893,1.1989967123765033,32,36
1764957767788872200,2.7248720703125,0.9155342977285384,-2.657997558015585,-0.0664302688754862,2.8120396599900523,1.0667151482030133,1.2089134401894355,32,36
1764957767798803200,2.73480322265625,1.2212813316106796,-1.881328125619888,0.009647428758,2.2429927953675723,1.0766216828879793,1.2188304117943836,32,37
1764957767808733200,2.744733154296875,1.2351052743017672,-0.8868816192179918,0.3124079530760645,1.5523024106983623,1.0865269998957376,1.2287461644392539,33,37
1764957767818664200,2.754664306640625,0.8456639851015061,-0.2167886474907398,0.3419031102927401,0.9375727332887163,1.096433534580703,1.2386631360442015,33,37
1764957767828595200,2.76459521484375,0.1723380958676338,0.1214922902494669,0.1942874225483276,0.28672006982039966,1.106339825730227,1.2485798638571337,33,37
1764957767838525200,2.774525146484375,-0.2298783576231449,0.6468769313126802,0.1463883653060067,0.7019425739082858,1.1162451427379858,1.2584956165020045,33,38
1764957767848456200,2.784456298828125,-0.3197264593958854,1.162227085095644,0.0923271139058284,1.2089338700400143,1.1261516774229514,1.2684125881069521,34,38
1764957767858387200,2.79438720703125,-0.2785878818649798,1.5621119538336992,-0.0462934030108153,1.58743442176188,1.1360579685724754,1.2783293159198845,34,38
1764957767868317200,2.804317138671875,-0.3525544508296996,1.7043705532580613,-0.3301103081030771,1.7714814250025117,1.1459632855802342,1.288245068564755,34,39
1764957767878248200,2.814248291015625,-0.3494097230631858,1.532645036330819,-0.6873474733889102,1.7156731947357307,1.1558698202651998,1.2981620401697027,35,39
1764957767888179000,2.824178955078125,-0.2042939806420356,1.157137068480253,-0.8075986775361002,1.4258042817075913,1.1657758678792822,1.3080785241906194,35,39
1764957767898109200,2.834109130859375,0.0486685346443206,0.7243494625717402,-0.8084604089319706,1.086581337499795,1.1756814284224824,1.3179945206275057,35,40
1764957767908040000,2.8440400390625,0.2612006206691264,0.222282568731904,-0.8741896762315183,0.9390649043754948,1.1855877195720066,1.3279112484404378,36,40
1764957767917971200,2.85397119140625,0.3436006714582443,-0.3318079423338174,-0.8695099939826876,0.9920713490763311,1.195494254256972,1.3378282200453857,36,40
