time,seconds_elapsed,z,y,x,a_mag,t_front_video,t_side_video,front_frame,side_frame
1764942283630070300,11.2660703125,-0.0495689175501465,-0.0157394209235906,0.0469125030235387,0.07003991646223395,9.872974593186512,9.45029317878244,296,284
1764942283640001300,11.276001220703124,-0.1918961982965469,-0.0592459696948528,0.0146262903162278,0.20136574737071258,9.883382004731482,9.460235056303032,297,284
1764942283649933300,11.285933349609374,-0.1171563068717718,-0.0524555789023637,0.0108810576396062,0.12882385420864917,9.893790695551171,9.470178155875097,297,284
1764942283659864000,11.295864013671874,-0.0016273089408874,0.0094376904308795,-0.0007787110212258,0.00960856523695318,9.9041978512412,9.480119788985396,297,284
1764942283669795300,11.30579541015625,0.0406998207874596,0.0260813667178154,-0.0247848789001815,0.05432313801776513,9.914605774496058,9.490062155326578,297,285
1764942283679726300,11.315726318359374,0.0394511359006166,-0.0210346047222614,-0.0676689666578546,0.08110447440315817,9.92501318604103,9.50000403284717,298,285
1764942283689657000,11.325656982421876,0.0099434479959309,-0.0338029008805751,-0.0609525178844109,0.0704039608434014,9.935420341731058,9.509945665957472,298,285
1764942283699589400,11.33558935546875,-0.0649285453759133,-0.0044745150655508,-0.0730327039144001,0.09782388834406608,9.94582928840569,9.51988900993983,298,286
1764942283709520400,11.345520263671874,-0.0747597651690244,0.0446726699411869,0.0015043584146536,0.08710300237099544,9.95623669995066,9.529830887460422,299,286
1764942283719451100,11.355451171875,-0.0436561863750219,0.078867200487852,0.0352644248005002,0.09679606179030129,9.966644111495633,9.539772764981016,299,286
1764942283729382400,11.36538232421875,-0.010821692135185,0.0831447316765785,0.0351656040685251,0.09092180781167536,9.977051778895547,9.549714886911904,299,286
1764942283739313400,11.3753134765625,0.0313946706950664,0.0491255576968193,0.0732649052350781,0.0936306152184218,9.987459446295462,9.559657008842793,300,287
1764942283749245200,11.3852451171875,0.0451081387490034,0.0357183791130781,0.089413710677158,0.10632665914493615,9.997867625405263,9.569599619594268,300,287
1764942283759176200,11.39517626953125,0.0314653978437185,0.0379874930888414,0.0700189090511761,0.0856491010890081,10.008275292805179,9.579541741525155,300,287
1764942283769107500,11.405107421875,0.0462076244235038,0.0216314015716314,0.0591920292842201,0.07814575112954467,10.018682960205092,9.589483863456042,301,288
1764942283779038200,11.4150380859375,0.0728233902789652,-0.0168739779114723,0.0836024671151302,0.11214878425562964,10.029090115895121,9.599425496566344,301,288
1764942283788969200,11.42496923828125,0.0658300242602825,-0.0199888950616121,0.0845143212630413,0.10897622914400222,10.039497783295035,9.609367618497231,301,288
1764942283798901200,11.4349013671875,0.0355973830819129,-0.0005938742399215,0.0857766328164376,0.09287172393263335,10.049906474114724,9.619310718069293,301,289
1764942283808832300,11.444832275390626,0.0290472307860851,0.009656886139512,0.0500547283057123,0.05867259063660191,10.060313885659697,9.629252595589888,302,289
1764942283818763300,11.45476318359375,0.0311485869795083,-0.0128372697412967,0.0208234827222302,0.03960615353595733,10.070721297204667,9.639194473110482,302,289
1764942283828694300,11.4646943359375,0.0361861427552998,0.0239040226787328,-0.0198688123458996,0.047703342983158745,10.08112896460458,9.64913659504137,302,289
1764942283838626300,11.474626220703126,0.0390239965297281,0.0270575182735919,-0.0706636184291914,0.0851371162876941,10.091537399569328,9.659079450203139,303,290
1764942283848557300,11.484557373046876,0.0482137035489082,-0.0014858546435832,-0.0994422431406565,0.11052388291572689,10.101945066969243,9.669021572134026,303,290
1764942283858488300,11.49448828125,0.0338275969304144,-0.0307020122557878,-0.0914035693201236,0.10218381650290698,10.112352478514213,9.67896344965462,303,290
1764942283868419000,11.504419189453126,-0.0058291445448994,-0.0496375988721847,-0.0560906109364703,0.07512673813728188,10.122759890059186,9.688905327175215,304,291
1764942283878350300,11.514350341796876,-0.0476693675391376,-0.0820043294697999,-0.0120493525003083,0.09561519517864074,10.1331675574591,9.698847449106102,304,291
1764942283888282400,11.524282470703126,0.0182839908398687,-0.1044534771651029,0.0095865791159681,0.10647410817686989,10.143576248278789,9.708790548678165,304,291
1764942283898213400,11.53421337890625,0.0366479150481522,-0.1082633908420801,0.01881018840475,0.11583546374847284,10.153983659823759,9.718732426198759,305,292
1764942283908144000,11.54414404296875,-0.0120538642786443,-0.1267611705631017,0.0487475181646645,0.13634518889124778,10.164390815513787,9.728674059309059,305,292
1764942283918075400,11.554075439453126,-0.0724142249561846,-0.1463081670761108,0.0415752701814286,0.16845890543344644,10.174798738768645,9.73861642565024,305,292
1764942283928006100,11.564006103515624,-0.1272819795668125,-0.159433606109023,0.0305283179230056,0.206280768067655,10.18520589445867,9.748558058760539,306,292
1764942283937938200,11.573938232421876,-0.1237128889083862,-0.2032815156638622,0.0212231312979944,0.23891143713675086,10.195614585278364,9.758501158332603,306,293
1764942283947869200,11.583869140625,-0.1122666351340711,-0.1392231772512197,-0.0121665491391904,0.17926214147501285,10.206021996823333,9.768443035853197,306,293
1764942283957800400,11.593800537109376,-0.0512526328533887,-0.0548299068182706,-0.0258127606431953,0.07936907249128837,10.216429920078193,9.77838540219438,306,293
1764942283967731200,11.603731201171875,0.0183848208658397,0.0241992062330245,-0.0377916782557964,0.04849550665749458,10.22683707576822,9.788327035304679,307,294
1764942283977662200,11.613662109375,0.027038813573122,0.0758989983320236,-0.0645009676136076,0.10320915758951928,10.23724448731319,9.798268912825272,307,294
1764942283987594200,11.62359423828125,0.0438210215479135,0.1120335570305585,-0.0651878538992255,0.13682564133381167,10.247653178132879,9.808212012397336,307,294
1764942283997525200,11.633525146484375,0.0275737972326576,0.1169429563820362,-0.0553238095487467,0.13227506660056737,10.258060589677852,9.81815388991793,308,295
1764942284007456300,11.643456298828124,-0.0160204298220574,0.1193839197933673,-0.0566380704850889,0.13310539247223052,10.268468257077764,9.828096011848816,308,295
1764942284017387300,11.65338720703125,-0.1068112923376262,0.0988753847718238,-0.0524223159535787,0.15470324202985175,10.278875668622735,9.83803788936941,308,295
1764942284027318300,11.663318359375,-0.1551606049649417,0.0655932928949594,-0.07276718484601,0.18350029045291455,10.28928333602265,9.847980011300297,309,295
1764942284037250300,11.673250244140624,-0.1557316828511655,0.0133300216943025,-0.050419908356294,0.16423219440987707,10.299691770987396,9.857922866462067,309,296
1764942284047181300,11.683181396484375,-0.1534516090899705,-0.0565910712718963,-0.0406243078658357,0.16852382641508043,10.310099438387311,9.867864988392956,309,296
1764942284057112300,11.6931123046875,-0.1144651680916547,-0.0860311007678508,-0.0427621053458191,0.1494396957276941,10.320506849932283,9.877806865913549,310,296
1764942284067043300,11.703043212890623,-0.0736170248746871,-0.0920791487604379,-0.0318586349450051,0.12211882986831414,10.330914261477252,9.887748743434141,310,297
1764942284076974300,11.712974365234375,-0.0560360677376389,-0.0949614261984825,-0.0182430925738997,0.11176101189505654,10.341321928877168,9.897690865365032,310,297
1764942284086906000,11.722906005859375,-0.0439285735756158,-0.092286069509387,0.052687195701152,0.11498860288189952,10.35173010798697,9.907633476116507,311,297
1764942284096837400,11.73283740234375,-0.0423088634192943,-0.0991278982281684,0.0584753506485372,0.12262033585191322,10.362138031241829,9.917575842457687,311,298
1764942284106768400,11.742768310546875,0.0259121476307511,-0.0698468586862087,0.0532756265809759,0.0915877472742104,10.3725454427868,9.927517719978281,311,298
