thr,f1,precision,recall,pos_rate
0.05,0.38922155688622756,0.241635687732342,1.0,0.9340277777777778
0.060000000000000005,0.3867069486404834,0.24060150375939848,0.9846153846153847,0.9236111111111112
0.07,0.39143730886850153,0.24427480916030533,0.9846153846153847,0.9097222222222222
0.08000000000000002,0.39143730886850153,0.24427480916030533,0.9846153846153847,0.9097222222222222
0.09000000000000001,0.39143730886850153,0.24427480916030533,0.9846153846153847,0.9097222222222222
0.1,0.39263803680981596,0.24521072796934865,0.9846153846153847,0.90625
0.11000000000000001,0.39263803680981596,0.24521072796934865,0.9846153846153847,0.90625
0.12000000000000001,0.39384615384615385,0.24615384615384617,0.9846153846153847,0.9027777777777778
0.13,0.39384615384615385,0.24615384615384617,0.9846153846153847,0.9027777777777778
0.14,0.39384615384615385,0.24615384615384617,0.9846153846153847,0.9027777777777778
0.15000000000000002,0.39384615384615385,0.24615384615384617,0.9846153846153847,0.9027777777777778
0.16000000000000003,0.39384615384615385,0.24615384615384617,0.9846153846153847,0.9027777777777778
0.17000000000000004,0.3950617283950617,0.2471042471042471,0.9846153846153847,0.8993055555555556
0.18000000000000005,0.3950617283950617,0.2471042471042471,0.9846153846153847,0.8993055555555556
0.19,0.3950617283950617,0.2471042471042471,0.9846153846153847,0.8993055555555556
0.2,0.3950617283950617,0.2471042471042471,0.9846153846153847,0.8993055555555556
0.21000000000000002,0.3950617283950617,0.2471042471042471,0.9846153846153847,0.8993055555555556
0.22000000000000003,0.39751552795031053,0.2490272373540856,0.9846153846153847,0.8923611111111112
0.23000000000000004,0.39751552795031053,0.2490272373540856,0.9846153846153847,0.8923611111111112
0.24000000000000005,0.39751552795031053,0.2490272373540856,0.9846153846153847,0.8923611111111112
0.25000000000000006,0.3987538940809969,0.25,0.9846153846153847,0.8888888888888888
0.26000000000000006,0.4,0.25098039215686274,0.9846153846153847,0.8854166666666666
0.27,0.4,0.25098039215686274,0.9846153846153847,0.8854166666666666
0.28,0.4,0.25098039215686274,0.9846153846153847,0.8854166666666666
0.29000000000000004,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.30000000000000004,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.31000000000000005,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.32000000000000006,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.33,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.34,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.35000000000000003,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.36000000000000004,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.37000000000000005,0.4025157232704403,0.25296442687747034,0.9846153846153847,0.8784722222222222
0.38000000000000006,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.39000000000000007,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.4000000000000001,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.4100000000000001,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.42000000000000004,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.43000000000000005,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.44000000000000006,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.45000000000000007,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.4600000000000001,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.4700000000000001,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.4800000000000001,0.4037854889589905,0.25396825396825395,0.9846153846153847,0.875
0.49000000000000005,0.4050632911392405,0.2549800796812749,0.9846153846153847,0.8715277777777778
0.5000000000000001,0.4050632911392405,0.2549800796812749,0.9846153846153847,0.8715277777777778
0.5100000000000001,0.40634920634920635,0.256,0.9846153846153847,0.8680555555555556
0.5200000000000001,0.40634920634920635,0.256,0.9846153846153847,0.8680555555555556
0.5300000000000001,0.40634920634920635,0.256,0.9846153846153847,0.8680555555555556
0.5400000000000001,0.40634920634920635,0.256,0.9846153846153847,0.8680555555555556
0.5500000000000002,0.40634920634920635,0.256,0.9846153846153847,0.8680555555555556
0.5600000000000002,0.4012738853503185,0.25301204819277107,0.9692307692307692,0.8645833333333334
0.5700000000000002,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.5800000000000002,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.5900000000000002,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6000000000000002,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6100000000000001,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6200000000000001,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6300000000000001,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6400000000000001,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6500000000000001,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6600000000000001,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6700000000000002,0.402555910543131,0.2540322580645161,0.9692307692307692,0.8611111111111112
0.6800000000000002,0.40384615384615385,0.2550607287449393,0.9692307692307692,0.8576388888888888
0.6900000000000002,0.40384615384615385,0.2550607287449393,0.9692307692307692,0.8576388888888888
